sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
4672;SDS011;2350;53.552;9.943;2019-01-01T00:00:04;43.17;;;29.23;;
15281;SDS011;7742;44.320;19.821;2019-01-01T00:00:04;44.33;;;29.95;;
5977;SDS011;3015;51.389;12.256;2019-01-01T00:00:04;47.90;;;39.63;;
5863;SDS011;2958;42.106;24.731;2019-01-01T00:00:04;49.90;;;31.17;;
12328;SDS011;6230;52.389;10.256;2019-01-01T00:00:04;53.97;;;38.87;;
16892;SDS011;8563;52.243;9.098;2019-01-01T00:00:04;58.27;;;49.13;;
11249;SDS011;5682;39.230;23.185;2019-01-01T00:00:04;60.87;;;15.87;;
4180;SDS011;2104;52.393;13.037;2019-01-01T00:00:04;62.40;;;40.70;;
13868;SDS011;7004;48.205;16.401;2019-01-01T00:00:04;64.50;;;43.17;;
13028;SDS011;6581;42.661;23.401;2019-01-01T00:00:04;64.77;;;42.70;;
13419;SDS011;6781;58.441;15.471;2019-01-01T00:00:04;6.90;;;2.53;;
12878;SDS011;6507;49.476;10.986;2019-01-01T00:00:04;78.47;;;65.30;;
15673;SDS011;7937;48.090;16.212;2019-01-01T00:00:04;8.53;;;5.70;;
10285;SDS011;5188;51.372;6.749;2019-01-01T00:00:04;91.47;;;65.43;;
15498;SDS011;7851;52.261;6.031;2019-01-01T00:00:04;95.78;;;84.27;;
9443;SDS011;4760;42.148;24.754;2019-01-01T00:00:05;100.97;;;53.47;;
2996;SDS011;1508;48.744;9.111;2019-01-01T00:00:05;104.32;;;65.72;;
9003;SDS011;4537;50.630;6.063;2019-01-01T00:00:05;112.90;;;55.10;;
19589;SDS011;9941;42.782;23.386;2019-01-01T00:00:05;122.07;;;63.53;;
14100;SDS011;7127;49.373;8.165;2019-01-01T00:00:05;12.73;;;10.77;;
3095;SDS011;1558;42.700;23.360;2019-01-01T00:00:05;134.23;;;76.40;;
13297;SDS011;6717;50.768;0.252;2019-01-01T00:00:05;13.53;;;6.00;;
11709;SDS011;5911;51.035;6.972;2019-01-01T00:00:05;138.43;;;95.37;;
10045;SDS011;5063;50.878;4.741;2019-01-01T00:00:05;14.30;;;10.70;;
12950;SDS011;6540;50.858;7.231;2019-01-01T00:00:05;147.60;;;96.33;;
7334;SDS011;3708;42.632;23.378;2019-01-01T00:00:05;149.77;;;82.53;;
5622;SDS011;2833;50.432;10.707;2019-01-01T00:00:05;15.33;;;9.10;;
13550;SDS011;6846;51.898;5.462;2019-01-01T00:00:05;171.73;;;133.43;;
12525;SDS011;6328;49.449;11.057;2019-01-01T00:00:05;175.9;;;83.5;;
8809;SDS011;4441;50.895;4.702;2019-01-01T00:00:05;18.47;;;14.67;;
2257;SDS011;1136;51.574;7.705;2019-01-01T00:00:05;187.43;;;140.57;;
13010;SDS011;6786;57.632;11.962;2019-01-01T00:00:05;21.03;;;4.33;;
16288;SDS011;8252;43.521;5.254;2019-01-01T00:00:05;21.17;;;16.67;;
10250;SDS011;5170;58.691;12.477;2019-01-01T00:00:05;22.13;;;4.40;;
6957;SDS011;3518;51.267;15.942;2019-01-01T00:00:05;23.25;;;19.67;;
13741;SDS011;8461;52.356;10.705;2019-01-01T00:00:05;24.30;;;16.70;;
8249;SDS011;4165;51.333;12.542;2019-01-01T00:00:05;244.70;;;145.33;;
7815;SDS011;3953;48.574;8.781;2019-01-01T00:00:05;28.20;;;20.60;;
11191;SDS011;5652;48.406;10.820;2019-01-01T00:00:05;338.37;;;137.07;;
14957;SDS011;7573;48.508;8.874;2019-01-01T00:00:05;37.00;;;24.57;;
17020;SDS011;8626;55.727;13.193;2019-01-01T00:00:05;39.13;;;24.90;;
13425;SDS011;6785;57.919;12.531;2019-01-01T00:00:05;39.23;;;15.80;;
10910;SDS011;5508;49.150;11.029;2019-01-01T00:00:05;39.47;;;20.90;;
1601;SDS011;794;48.593;9.635;2019-01-01T00:00:05;400.23;;;253.53;;
1757;SDS011;876;48.825;9.231;2019-01-01T00:00:05;416.77;;;276.05;;
2452;SDS011;1238;47.993;7.855;2019-01-01T00:00:05;494.00;;;319.20;;
13271;SDS011;6704;51.726;8.767;2019-01-01T00:00:05;51.80;;;29.10;;
11376;SDS011;5743;59.125;15.127;2019-01-01T00:00:05;5.47;;;1.67;;
16133;SDS011;8172;45.017;5.972;2019-01-01T00:00:05;54.73;;;12.28;;
13762;SDS011;6952;60.450;23.238;2019-01-01T00:00:05;5.80;;;1.90;;
1226;SDS011;603;52.012;8.541;2019-01-01T00:00:05;58.04;;;41.61;;
7211;SDS011;3647;48.793;9.802;2019-01-01T00:00:05;58.57;;;37.73;;
12348;SDS011;5974;42.710;27.258;2019-01-01T00:00:05;59.53;;;35.63;;
4853;SDS011;2441;53.488;10.211;2019-01-01T00:00:05;59.90;;;34.47;;
16292;SDS011;8254;53.566;9.982;2019-01-01T00:00:05;60.97;;;28.23;;
635;SDS011;302;50.206;8.197;2019-01-01T00:00:05;61.27;;;46.87;;
7464;SDS011;3774;52.198;5.422;2019-01-01T00:00:05;629.80;;;419.37;;
1491;SDS011;738;49.902;10.875;2019-01-01T00:00:05;63.37;;;42.20;;
5888;SDS011;2970;42.664;23.371;2019-01-01T00:00:05;64.03;;;27.53;;
6509;SDS011;3288;48.776;9.151;2019-01-01T00:00:05;657.07;;;346.73;;
13279;SDS011;6708;49.814;8.651;2019-01-01T00:00:05;72.77;;;54.57;;
13406;SDS011;6774;48.207;10.765;2019-01-01T00:00:05;75.17;;;60.60;;
4519;SDS011;2272;49.225;8.107;2019-01-01T00:00:05;85.03;;;46.60;;
11751;SDS011;5933;55.148;61.413;2019-01-01T00:00:05;9.37;;;5.87;;
6446;SDS011;3256;53.654;10.266;2019-01-01T00:00:06;0.70;;;0.30;;
19673;SDS011;9986;50.609;7.229;2019-01-01T00:00:06;102.63;;;58.87;;
6551;SDS011;3309;48.707;9.290;2019-01-01T00:00:06;113.30;;;70.50;;
8570;SDS011;4323;42.423;25.623;2019-01-01T00:00:06;12.13;;;10.13;;
515;SDS011;244;48.509;9.052;2019-01-01T00:00:06;126.23;;;106.33;;
8675;SDS011;4375;52.485;13.424;2019-01-01T00:00:06;128.17;;;72.77;;
